PATH,MTYPE
\\bfq15-p0029\F21\,34HVT
\\Fct-pc\f21\,34HVT
\\bfq15-p0021\F21\,34HVT
\\Bfq15-p0023\f21\,34HVT
\\Bfq15-p0007\f21\,LVPS
\\Bfq15-p0008\f21\,LVPS
\\Bfq15-p0009\f21\,LVPS
\\Bfq15-p0010\f21\,LVPS
\\Bfq15-p0018\f21\,LVPS
\\Bfq15-p0019\f21\,LVPS
\\Bfq15-p0033\f21\,LVPS
\\Bfq15-p0064\f21\,LVPS
\\Bfq15-p0003\f21\,36DCC
\\Bfq15-p0006\f21\,36DCC
\\Bfq15-p0006\f21\,36DCC
\\Bfq15-p0040\f21\,34DCC
\\Bfq15-p0014\f21\,34DCC
\\Bfq15-p0015\f21\,34DCC
\\Bfq15-p0016\f21\,34DCC
\\Bfq15-p0017\f21\,34DCC
\\Bfq15-p0026\f21\,34DCC
\\Bfq15-p0011\f21\,34DCC
\\Bfq15-p0032\f21\,34DCC
\\Bfq15-p0013\f21\,34DCC
\\Bfq15-p0027\f21\,34DCC
\\Bfq15-p0038\f21\,34DCC
\\Bfq15-p0039\f21\,34DCC
\\Bfq16-p0018\f21\,36HVT
\\Bfq15-p0022\f21\,36HVT
\\Bfq17-p0057\f21\,36HVT